CarNames,Mpg,Cylinders,Engn,Horsepower,wght,time,year,origin
toyota corona mark ii,24,4,113,95,2372,15,70,3
datsun pl510,27,4,97,88,2130,14.5,70,3
datsun pl510,27,4,97,88,2130,14.5,71,3
toyota corona,25,4,113,95,2228,14,71,3
toyota corolla 1200,31,4,71,65,1773,19,71,3
datsun 1200,35,4,72,69,1613,18,71,3
toyota corona hardtop,24,4,113,95,2278,15.5,72,3
mazda rx2 coupe,19,3,70,97,2330,13.5,72,3
datsun 510 (sw),28,4,97,92,2288,17,72,3
toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,3
toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,3
toyota carina,20,4,97,88,2279,19,73,3
datsun 610,22,4,108,94,2379,16.5,73,3
maxda rx3,18,3,70,90,2124,13.5,73,3
toyota mark ii,20,6,156,122,2807,13.5,73,3
datsun b210,31,4,79,67,1950,19,74,3
toyota corolla 1200,32,4,71,65,1836,21,74,3
toyota corona,31,4,76,52,1649,16.5,74,3
datsun 710,32,4,83,61,2003,19,74,3
honda civic,24,4,120,97,2489,15,74,3
subaru,26,4,108,93,2391,15.5,74,3
toyota corolla,29,4,97,75,2171,16,75,3
toyota corona,24,4,134,96,2702,13.5,75,3
datsun 710,24,4,119,97,2545,17,75,3
honda civic cvcc,33,4,91,53,1795,17.5,75,3
honda civic,33,4,91,53,1795,17.4,76,3
datsun b-210,32,4,85,70,1990,17,76,3
toyota corolla,28,4,97,75,2155,16.4,76,3
toyota mark ii,19,6,156,108,2930,15.5,76,3
honda accord cvcc,31.5,4,98,68,2045,18.5,77,3
datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,3
toyota corolla liftback,26,4,97,75,2265,18.2,77,3
subaru dl,30,4,97,67,1985,16.4,77,3
datsun 810,22,6,146,97,2815,14.5,77,3
mazda rx-4,21.5,3,80,110,2720,13.5,77,3
mazda glc deluxe,32.8,4,78,52,1985,19.4,78,3
datsun b210 gx,39.4,4,85,70,2070,18.6,78,3
honda civic cvcc,36.1,4,91,60,1800,16.4,78,3
toyota corona,27.5,4,134,95,2560,14.2,78,3
datsun 510,27.2,4,119,97,2300,14.7,78,3
toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,3
datsun 200-sx,23.9,4,119,97,2405,14.9,78,3
honda accord lx,29.5,4,98,68,2135,16.6,78,3
maxda glc deluxe,34.1,4,86,65,1975,15.2,79,3
datsun 210,31.8,4,85,65,2020,19.2,79,3
toyota corolla tercel,38.1,4,89,60,1968,18.8,80,3
datsun 310,37.2,4,86,65,2019,16.4,80,3
toyota corona liftback,29.8,4,134,90,2711,15.5,80,3
mazda 626,31.3,4,120,75,2542,17.5,80,3
datsun 510 hatchback,37,4,119,92,2434,15,80,3
toyota corolla,32.2,4,108,75,2265,15.2,80,3
mazda glc,46.6,4,86,65,2110,17.9,80,3
datsun 210,40.8,4,85,65,2110,19.2,80,3
honda civic 1500 gl,44.6,4,91,67,1850,13.8,80,3
subaru dl,33.8,4,97,67,2145,18,80,3
datsun 280-zx,32.7,6,168,132,2910,11.4,80,3
mazda rx-7 gs,23.7,3,70,100,2420,12.5,80,3
honda accord,32.4,4,107,72,2290,17,80,3
toyota starlet,39.1,4,79,58,1755,16.9,81,3
honda civic 1300,35.1,4,81,60,1760,16.1,81,3
subaru,32.3,4,97,67,2065,17.8,81,3
datsun 210 mpg,37,4,85,65,1975,19.4,81,3
toyota tercel,37.7,4,89,62,2050,17.3,81,3
mazda glc 4,34.1,4,91,68,1985,16,81,3
honda prelude,33.7,4,107,75,2210,14.4,81,3
toyota corolla,32.4,4,108,75,2350,16.8,81,3
datsun 200sx,32.9,4,119,100,2615,14.8,81,3
mazda 626,31.6,4,120,74,2635,18.3,81,3
toyota cressida,25.4,6,168,116,2900,12.6,81,3
datsun 810 maxima,24.2,6,146,120,2930,13.8,81,3
mazda glc custom l,37,4,91,68,2025,18.2,82,3
mazda glc custom,31,4,91,68,1970,17.6,82,3
nissan stanza xe,36,4,120,88,2160,14.5,82,3
honda accord,36,4,107,75,2205,14.5,82,3
toyota corolla,34,4,108,70,2245,16.9,82,3
honda civic,38,4,91,67,1965,15,82,3
honda civic (auto),32,4,91,67,1965,15.7,82,3
datsun 310 gx,38,4,91,67,1995,16.2,82,3
toyota celica gt,32,4,144,96,2665,13.9,82,3
